Partlist

Exported from MCAT-CANYVAL-BPL-5X.sch at 2/24/2015 10:20:09 AM

EAGLE Version 7.2.0 Copyright (c) 1988-2014 CadSoft

Assembly variant: 

Part           Value                     Device                    Package                                Library           Sheet
PPU-V8C1-3:L1  PPUV8-INDUCTOR-V2         PPUV8-INDUCTOR-V2         PPUV8-INDUCTOR-V2                      gwu_mpnl_ucat_v10 PPU-V8C1:1
PPU-V8C1-3:Q11 IXYH30N120C3D1            IXYH30N120C3D1/V          IXYS-TO-247-AD-VERT                    gwu_mpnl_ucat_v10 PPU-V8C1:1
PPU-V8C1-3:R1  15R                       R-US_R1210                R1210                                  rcl               PPU-V8C1:1
PPU-V8C1-3:R2  1K                        R-US_R0805                R0805                                  rcl               PPU-V8C1:1
PPU-V8C1-3:SJ1 0R                        SJ                        SJ                                     jumper            PPU-V8C1:1
PPU-V8C1-3:T1  MCAT-SPADE-TERMINAL       MCAT-SPADE-TERMINAL       SPADE-TERMINAL-FLANGED-NYLON-INSULATED gwu_mpnl_ucat_v10 PPU-V8C1:1
PPU-V8C1-3:TP1 PCB-MINI-SMD-TESTPOINT/SQ PCB-MINI-SMD-TESTPOINT/SQ PCB-MINI-SMD-TESTPOINT                 gwu_mpnl_ucat_v10 PPU-V8C1:1
PPU-V8C1-3:TP2 PCB-MINI-SMD-TESTPOINT/SQ PCB-MINI-SMD-TESTPOINT/SQ PCB-MINI-SMD-TESTPOINT                 gwu_mpnl_ucat_v10 PPU-V8C1:1
PPU-V8C1-3:TP3 PCB-MINI-SMD-TESTPOINT/SQ PCB-MINI-SMD-TESTPOINT/SQ PCB-MINI-SMD-TESTPOINT                 gwu_mpnl_ucat_v10 PPU-V8C1:1
PPU-V8C1-3:U$1 IXDN604/SI                IXDN604/SI                IXYS-SI-8PIN-POWER-SOIC                gwu_mpnl_ucat_v10 PPU-V8C1:1
